,,,,,,,,,,,,,
,Остатки,,,,,,,,,,,,
,,отчет создан:,18/03/2026 12:32:54,,,,,,,,,,
,,исполнитель:,Баркова Светлана (admin@autopartsworld ),,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Код,Артикул,Наименование,Ед.изм.,Доступно,Резерв,Ожидание,Остаток,Себестоимость,"Сумма себестоимости",Цена продажи,Сумма продажи,Дней на складе
,,,,,,,,,,,,,
,2673,2914Q41DA01,Шайба развальная заднего рычага 2914Q41DA01 HongQi H5 Original,шт,6,0,0,6,306,1836,650,3900,85.93
,2638,360304027L,Катушка зажигания HongQi H5 360304027L,шт,6,0,0,6,1326,7956,6500,39000,91.12
,1893,3502111HF01,Диск тормозной задний 3502111HF01 HongQi Н5 Original,шт,6,0,0,6,1734,10404,6000,36000,84.96
,2632,2901051HF01,Отбойник переднего амортизатора 2901051HF01 HongQi H5 Original,шт,6,0,0,6,693.6,4161.6,1499,8994,91.12
,2769,2914525DD01,Рычаг задний поперечный 2914525DD01 HongQi H5,шт,6,0,0,6,979.2,5875.2,5100,30600,80.6
,1950,3103040HF01,Ступица задняя 3103040HF01 HongQi H5 (3103040-HF01),шт,6,0,0,6,1836,11016,5250,31500,90.09
,2660,2902021HF02,Пружина передняя винтовая 2902021HF02 HongQi H5,шт,6,0,0,6,1530,9180,6090,36540,85.93
,2637,2915015HF02,Амортизатор задний 2915015HF02 Hongqi H5,шт,6,0,0,6,2040,12240,7980,47880,91.12
,2134,3501111HF01P,Диск тормозной передний 3501111HF01P HongQi H5 original,шт,6,0,0,6,2044.7,12268.2,8000,48000,62.81
,2668,2804131HF01S1P,Заглушка крюка заднего бампера 2804131HF01S1P HongQi H5,шт,8,0,0,8,265.2,2121.6,600,4800,85.93
,2672,100508545L,Сальник коленвала передний 100508545L HongQi H5 (1005085-45L),шт,10,0,0,10,367.2,3672,1700,17000,85.93
,2633,2916037HF01,Втулка стабилизатора задняя 2916037HF01 HongQi H5,шт,10,0,0,10,469.2,4692,1490,14900,91.12
,2777,2804151HF01004P,Накладка/молдинг на выхлопную трубу левая 2804151HF01004P Hongqi H5 (2022-н.в),шт,10,0,0,10,2040,20400,4200,42000,80.6
,1865,3103030HF01,Ступица передняя 3103030HF01 HongQi H5 Original,шт,12,0,0,12,2141.3,25695.6,10300,123600,84.96
,2773,2914171DD01,Сайленблок заднего рычага нижнего 2914171DD01 HongQi H5 Original,шт,12,0,0,12,979.2,11750.4,3000,36000,80.6
,2760,370701027LABP,Свеча для 370701027LABP Hongqi H5/H9 2.0T оригинал 3707010-27L-A-BP,шт,12,0,0,12,386.7,4640.4,1200,14400,80.6
,2670,3778080DB01A,Датчик давления в шинах 3778080DB01A HongQi H5 Original,шт,12,0,0,12,1326,15912,3976,47712,85.93
,2739,2914331DD01,Рычаг задний верхний 2914331DD01 Hongqi H5,шт,12,0,0,12,1000,12000,5000,60000,82.81
,1953,2904465QD01A,Сайлентблок переднего рычага задний левый 2904465QD01A/2904465DD01A/2904465D01 HongQi H5 Original no logo,шт,14,0,0,14,856.8,11995.2,3500,49000,85.93
,1952,2904470QD01A,Сайлентблок переднего рычага задний правый 2904470QD01A/2904470DD01/2904470D01 HongQi H5 Original no logo,шт,15,0,0,15,856.8,12852,3500,52500,85.93
,2858,GXH5ATF40,Масло АКПП GXH5ATF40/BSXY1LSCC HongQi H5 GX AW1 10/ATF AW-1,шт,16,0,0,16,918,14688,2100,33600,47.89
,1827,101201037KH,Фильтр масляный 101201037KH HongQi H5 Original,шт,44,0,0,44,346.8,15259.2,890,39160,80.6
,1840,1109160QC01,Фильтр воздушный 1109160QC01 HongQi H5 Original,шт,48,0,0,48,530.4,25459.2,1990,95520,82.81
,1833,8107041HF01P,Фильтр салонный 8107041HF01P HongQi H5 Original,шт,48,0,0,48,408,19584,1200,57600,82.81
,Б/У Дефект,,,,,,,,,,,,
,1397,204001590AA-SH,Пыльник тормозного диска передний левый Б/У 204001590AA-SH Exeed LX/T1C,шт,1,0,0,1,200,200,800,800,438.87
,1401,260005402,'Блок управления АКПП 0260005402 (ND3C7810AAA) Chery, Jetour, Omoda (без упаковки)',шт,1,0,0,1,0,0,30000,30000,159.05
